yearSeason,urlSeasonBREF,winsTeam,lossesTeam,winsPythagTeam,lossesPythagTeam,marginVictoryTeam,ratioFTtoFGATeam,ratioFTtoFGAOpponent,nameArena,attendancePerGameTeam,slugTeamBREF,urlBREFTeamData,idTeamNBA,urlThumbnailTeam,ageMeanMisc,ratingStrengthOfScheduleMisc,ratingSimpleSystemMisc,ortgTeamMisc,drtgTeamMisc,nrtgTeamMisc,paceTeamMisc,pctFTRateMisc,pct3PRateMisc,pctTrueShootingeTeamMisc,pctEFGTeamMisc,pctTOVTeamMisc,pctORBTeamMisc,pctEFGTeamOppMisc,pctTOVOpponentMisc,pctDRBOpponentMisc,isPlayoffTeam,beatExpectedWins
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,44,38,40,42,-0.3,0.22,0.22,BMO Harris Bradley Center,16856,MIL,https://www.basketball-reference.com/teams/MIL/2018.html,1610612749,https://stats.nba.com/media/img/teams/logos/MIL_logo.svg,25.9,-0.15,-0.45,109.8,110.1,-0.3,96.2,0.281,0.297,0.571,0.531,12.9,20.4,0.528,14.2,75.9,TRUE,TRUE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,35,47,37,45,-1.55,0.188,0.19,STAPLES Center,18935,LAL,https://www.basketball-reference.com/teams/LAL/2018.html,1610612747,https://stats.nba.com/media/img/teams/logos/LAL_logo.svg,23.7,0.11,-1.44,106.5,108,-1.5,100.3,0.264,0.329,0.548,0.517,13.8,23.6,0.514,12.5,77.7,FALSE,FALSE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,24,58,33,49,-3.04,0.166,0.193,American Airlines Center,19792,DAL,https://www.basketball-reference.com/teams/DAL/2018.html,1610612742,https://stats.nba.com/media/img/teams/logos/DAL_logo.svg,27.7,0.34,-2.7,106.3,109.5,-3.2,95.6,0.217,0.382,0.544,0.513,11.6,18,0.532,12.9,78.9,FALSE,FALSE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,29,53,32,50,-3.56,0.17,0.208,Madison Square Garden (IV),19332,NYK,https://www.basketball-reference.com/teams/NYK/2018.html,1610612752,https://stats.nba.com/media/img/teams/logos/NYK_logo.svg,26.3,0.03,-3.53,107.1,110.7,-3.6,96.8,0.216,0.266,0.544,0.51,13.3,24.1,0.522,12.2,76.7,FALSE,FALSE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,28,54,31,51,-3.74,0.201,0.201,Barclays Center,15376,BRK,https://www.basketball-reference.com/teams/BRK/2018.html,1610612751,https://stats.nba.com/media/img/teams/logos/BKN_logo.svg,25.1,0.07,-3.67,106.9,110.6,-3.7,98.9,0.26,0.411,0.551,0.514,13.6,21,0.517,11,77,FALSE,FALSE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,25,57,28,54,-4.82,0.18,0.187,Amway Center,17915,ORL,https://www.basketball-reference.com/teams/ORL/2018.html,1610612753,https://stats.nba.com/media/img/teams/logos/ORL_logo.svg,25.6,-0.1,-4.92,105.2,110.1,-4.9,98.1,0.238,0.342,0.545,0.512,13.3,20,0.525,12.8,75.6,FALSE,FALSE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,24,58,27,55,-5.45,0.185,0.183,Philips Arena,14409,ATL,https://www.basketball-reference.com/teams/ATL/2018.html,1610612737,https://stats.nba.com/media/img/teams/logos/ATL_logo.svg,25.4,0.15,-5.3,105,110.6,-5.6,98.3,0.236,0.363,0.547,0.512,14.1,21.1,0.536,13.6,76.2,FALSE,FALSE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,22,60,25,57,-6.21,0.201,0.256,FedEx Forum,15948,MEM,https://www.basketball-reference.com/teams/MEM/2018.html,1610612763,https://stats.nba.com/media/img/teams/logos/MEM_logo.svg,26,0.39,-5.81,104.5,111,-6.5,94.9,0.255,0.317,0.539,0.5,14,22.4,0.529,13.8,76.5,FALSE,FALSE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,27,55,23,59,-6.99,0.143,0.199,Golden 1 Center,17431,SAC,https://www.basketball-reference.com/teams/SAC/2018.html,1610612758,https://stats.nba.com/media/img/teams/logos/SAC_logo.svg,26.4,0.39,-6.6,103.7,111.1,-7.4,94.9,0.194,0.278,0.529,0.502,12.8,21.5,0.542,13.5,77.6,FALSE,TRUE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,27,55,23,59,-7.04,0.164,0.184,United Center,20776,CHI,https://www.basketball-reference.com/teams/CHI/2018.html,1610612741,https://stats.nba.com/media/img/teams/logos/CHI_logo.svg,24.4,0.2,-6.84,103.8,110.9,-7.1,98.3,0.216,0.35,0.529,0.497,12.6,20.6,0.542,12.4,80.6,FALSE,TRUE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,21,61,19,63,-9.37,0.203,0.212,Talking Stick Resort Arena,16843,PHO,https://www.basketball-reference.com/teams/PHO/2018.html,1610612756,https://stats.nba.com/media/img/teams/logos/PHX_logo.svg,23.7,0.57,-8.8,103.5,112.8,-9.3,100.3,0.275,0.32,0.532,0.495,13.9,22.5,0.533,11.9,76.5,FALSE,TRUE
