yearSeason,urlSeasonBREF,winsTeam,lossesTeam,winsPythagTeam,lossesPythagTeam,marginVictoryTeam,ratioFTtoFGATeam,ratioFTtoFGAOpponent,nameArena,attendancePerGameTeam,slugTeamBREF,urlBREFTeamData,idTeamNBA,urlThumbnailTeam,ageMeanMisc,ratingStrengthOfScheduleMisc,ratingSimpleSystemMisc,ortgTeamMisc,drtgTeamMisc,nrtgTeamMisc,paceTeamMisc,pctFTRateMisc,pct3PRateMisc,pctTrueShootingeTeamMisc,pctEFGTeamMisc,pctTOVTeamMisc,pctORBTeamMisc,pctEFGTeamOppMisc,pctTOVOpponentMisc,pctDRBOpponentMisc,isPlayoffTeam,beatExpectedWins
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,53,29,53,29,4.77,0.233,0.21,Toyota Center,18058,HOU,https://www.basketball-reference.com/teams/HOU/2019.html,1610612745,https://stats.nba.com/media/img/teams/logos/HOU_logo.svg,29.2,0.19,4.96,115.5,110.7,4.8,97.9,0.279,0.519,0.581,0.542,12,22.8,0.525,13.4,74.4,TRUE,FALSE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,48,34,50,32,3.33,0.173,0.184,Bankers Life Fieldhouse,16812,IND,https://www.basketball-reference.com/teams/IND/2019.html,1610612754,https://stats.nba.com/media/img/teams/logos/IND_logo.svg,27,-0.57,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,0.53,12.4,21.9,0.516,14.1,76.2,TRUE,FALSE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,48,34,43,39,0.85,0.222,0.224,STAPLES Center,17325,LAC,https://www.basketball-reference.com/teams/LAC/2019.html,1610612746,https://stats.nba.com/media/img/teams/logos/LAC_logo.svg,27.2,0.23,1.09,112.4,111.5,0.9,101.7,0.326,0.295,0.575,0.529,12.7,22,0.514,11.4,76,TRUE,TRUE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,37,45,37,45,-1.72,0.188,0.192,STAPLES Center,18997,LAL,https://www.basketball-reference.com/teams/LAL/2019.html,1610612747,https://stats.nba.com/media/img/teams/logos/LAL_logo.svg,26.2,0.39,-1.33,107.8,109.5,-1.7,103.2,0.257,0.342,0.554,0.527,13.4,22.2,0.516,12.2,76.4,FALSE,FALSE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,33,49,34,48,-2.6,0.201,0.232,FedEx Forum,15569,MEM,https://www.basketball-reference.com/teams/MEM/2019.html,1610612763,https://stats.nba.com/media/img/teams/logos/MEM_logo.svg,27.7,0.51,-2.08,106.1,108.8,-2.7,96.6,0.272,0.342,0.548,0.508,12.9,20,0.521,13.9,77.6,FALSE,FALSE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,39,43,40,42,-0.23,0.173,0.201,AmericanAirlines Arena,19641,MIA,https://www.basketball-reference.com/teams/MIA/2019.html,1610612748,https://stats.nba.com/media/img/teams/logos/MIA_logo.svg,27,-0.22,-0.45,107.3,107.6,-0.3,98.2,0.247,0.368,0.542,0.515,13.1,24.8,0.51,12.7,77.6,FALSE,FALSE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,60,22,61,21,8.87,0.22,0.162,BMO Harris Bradley Center,17602,MIL,https://www.basketball-reference.com/teams/MIL/2019.html,1610612749,https://stats.nba.com/media/img/teams/logos/MIL_logo.svg,26.9,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,0.55,12,20.8,0.503,11.5,80.3,TRUE,FALSE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,36,46,37,45,-1.5,0.225,0.19,Target Center,15306,MIN,https://www.basketball-reference.com/teams/MIN/2019.html,1610612750,https://stats.nba.com/media/img/teams/logos/MIN_logo.svg,26.2,0.48,-1.02,111.4,112.9,-1.5,100.2,0.267,0.315,0.552,0.511,11.4,24.6,0.538,12.9,74.9,FALSE,FALSE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,33,49,38,44,-1.33,0.183,0.193,Smoothie King Center,16004,NOP,https://www.basketball-reference.com/teams/NOP/2019.html,1610612740,https://stats.nba.com/media/img/teams/logos/NOP_logo.svg,25.7,0.23,-1.1,111.4,112.6,-1.2,103.3,0.254,0.324,0.563,0.529,12.6,24.1,0.532,11.6,76.8,FALSE,FALSE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,17,65,19,63,-9.21,0.17,0.203,Madison Square Garden (IV),19002,NYK,https://www.basketball-reference.com/teams/NYK/2019.html,1610612752,https://stats.nba.com/media/img/teams/logos/NYK_logo.svg,23.4,0.28,-8.93,104.5,113.7,-9.2,99.6,0.27,0.334,0.529,0.49,12.4,22.1,0.533,11.7,76.1,FALSE,FALSE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,49,33,50,32,3.4,0.197,0.206,Chesapeake Energy Arena,18203,OKC,https://www.basketball-reference.com/teams/OKC/2019.html,1610612760,https://stats.nba.com/media/img/teams/logos/OKC_logo.svg,25.7,0.15,3.56,110.3,107,3.3,102.8,0.266,0.347,0.545,0.514,11.7,26,0.523,14.4,78.2,TRUE,FALSE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,42,40,43,39,0.71,0.18,0.186,Amway Center,17431,ORL,https://www.basketball-reference.com/teams/ORL/2019.html,1610612753,https://stats.nba.com/media/img/teams/logos/ORL_logo.svg,25.7,-0.43,0.28,108.9,108.1,0.8,98.1,0.216,0.36,0.55,0.518,11.9,22,0.515,11.8,79.7,TRUE,FALSE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,51,31,48,34,2.7,0.198,0.206,Wells Fargo Center,20447,PHI,https://www.basketball-reference.com/teams/PHI/2019.html,1610612755,https://stats.nba.com/media/img/teams/logos/PHI_logo.svg,26.4,-0.44,2.25,112.6,110,2.6,101.6,0.312,0.342,0.574,0.532,12.9,24.5,0.512,11.1,78.6,TRUE,TRUE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,19,63,19,63,-9.34,0.203,0.236,Talking Stick Resort Arena,15293,PHO,https://www.basketball-reference.com/teams/PHO/2019.html,1610612756,https://stats.nba.com/media/img/teams/logos/PHX_logo.svg,24,0.73,-8.61,105.9,115.1,-9.2,100.5,0.259,0.335,0.552,0.514,13.8,20.5,0.545,13.5,72.5,FALSE,FALSE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,53,29,51,31,4.2,0.192,0.195,Moda Center,19496,POR,https://www.basketball-reference.com/teams/POR/2019.html,1610612757,https://stats.nba.com/media/img/teams/logos/POR_logo.svg,26.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,0.528,12.1,26.6,0.516,11,77.9,TRUE,TRUE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,39,43,38,44,-1.12,0.143,0.207,Golden 1 Center,17097,SAC,https://www.basketball-reference.com/teams/SAC/2019.html,1610612758,https://stats.nba.com/media/img/teams/logos/SAC_logo.svg,24.8,0.31,-0.81,110.4,111.5,-1.1,103.1,0.244,0.321,0.554,0.524,11.5,23.1,0.533,13.6,75.5,FALSE,TRUE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,48,34,45,37,1.68,0.189,0.17,AT&T Center,18308,SAS,https://www.basketball-reference.com/teams/SAS/2019.html,1610612759,https://stats.nba.com/media/img/teams/logos/SAS_logo.svg,28.8,0.12,1.8,112.9,111.2,1.7,98.3,0.237,0.286,0.572,0.534,11,21,0.528,11,79.4,TRUE,TRUE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,58,24,56,26,6.09,0.198,0.19,Air Canada Centre,19825,TOR,https://www.basketball-reference.com/teams/TOR/2019.html,1610612761,https://stats.nba.com/media/img/teams/logos/TOR_logo.svg,27.3,-0.6,5.49,113.1,107.1,6,100.2,0.247,0.379,0.579,0.543,12.4,21.9,0.509,13.1,77.1,TRUE,TRUE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,50,32,54,28,5.26,0.202,0.189,Vivint Smart Home Arena,18306,UTA,https://www.basketball-reference.com/teams/UTA/2019.html,1610612762,https://stats.nba.com/media/img/teams/logos/UTA_logo.svg,27.3,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.394,0.572,0.538,13.4,22.9,0.507,12.4,80.3,TRUE,FALSE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,32,50,34,48,-2.9,0.196,0.199,Capital One Arena,17448,WAS,https://www.basketball-reference.com/teams/WAS/2019.html,1610612764,https://stats.nba.com/media/img/teams/logos/WAS_logo.svg,26.5,-0.4,-3.3,111.1,113.9,-2.8,101.4,0.266,0.37,0.567,0.531,12.3,21.3,0.546,13.5,74.1,FALSE,FALSE
